,meter_reading,hour,minute,day,month,year
746,990289.0,18,45,8,8,2023
747,990296.0,19,0,8,8,2023
748,990304.0,19,15,8,8,2023
749,990312.0,19,30,8,8,2023
750,990320.0,19,45,8,8,2023
751,990327.0,20,0,8,8,2023
752,990335.0,20,15,8,8,2023
753,990342.0,20,30,8,8,2023
754,990347.0,20,45,8,8,2023
755,990352.0,21,0,8,8,2023
756,990358.0,21,15,8,8,2023
757,990365.0,21,30,8,8,2023
758,990372.0,21,45,8,8,2023
759,990379.0,22,0,8,8,2023
760,990385.0,22,15,8,8,2023
761,990390.0,22,30,8,8,2023
762,990395.0,22,45,8,8,2023
763,990400.0,23,0,8,8,2023
764,990407.0,23,15,8,8,2023
765,990414.0,23,30,8,8,2023
766,990421.0,23,45,8,8,2023
767,990428.0,0,0,9,8,2023
768,990432.0,0,15,9,8,2023
769,990438.0,0,30,9,8,2023
770,990443.0,0,45,9,8,2023
